Author,URL,Institution
Sneha Aman Singh,https://dblp.org/pid/151/7920,
Divesh Srivastava,https://dblp.org/pid/s/DiveshSrivastava,AT&amp;T Inc
Srikanta Tirthapura,https://dblp.org/pid/40/3710,"Iowa State University, Ames, IA, USA"
Tomas Talius,https://dblp.org/pid/46/9582,
Robin Dhamankar,https://dblp.org/pid/37/813,
Andrei Dumitrache,https://dblp.org/pid/117/5945,
Hanuma Kodavalla,https://dblp.org/pid/15/3353,
Bailu Ding,https://dblp.org/pid/163/0574,
Sudipto Das,https://dblp.org/pid/71/5974,
Wentao Wu 0001,https://dblp.org/pid/29/85,
Surajit Chaudhuri,https://dblp.org/pid/c/SurajitChaudhuri,
Vivek R. Narasayya,https://dblp.org/pid/n/VivekRNarasayya,Microsoft Research
Alireza Rezaei Mahdiraji,https://dblp.org/pid/74/8086,
Rui Zhang,https://dblp.org/pid/247/8331,
Reshu Jain,https://dblp.org/pid/69/7446,
Prasenjit Sarkar,https://dblp.org/pid/03/2866,
Lukas Rupprecht,https://dblp.org/pid/91/9320,
Marcelo Arenas,https://dblp.org/pid/76/6735,
Gonzalo I. Diaz,https://dblp.org/pid/133/8305,
Achille Fokoue,https://dblp.org/pid/13/2150,IBM Research
Anastasios Kementsietsidis,https://dblp.org/pid/41/5464,
Kavitha Srinivas,https://dblp.org/pid/39/4444,
Yongjoo Park,https://dblp.org/pid/84/6089,
Michael J. Cafarella,https://dblp.org/pid/82/231,"University of Michigan, Ann Arbor, USA"
Barzan Mozafari,https://dblp.org/pid/45/2495,
Shaofeng Cai,https://dblp.org/pid/228/6099,
Gang Chen 0001,https://dblp.org/pid/29/8493-1,
Beng Chin Ooi,https://dblp.org/pid/o/BengChinOoi,National University of Singapore (NUS)
Jinyang Gao,https://dblp.org/pid/131/4047,
Kisung Lee,https://dblp.org/pid/99/4464,
Ling Liu 0001,https://dblp.org/pid/l/LingLiu,
Eli Cortez,https://dblp.org/pid/c/EliCortez,
Philip A. Bernstein,https://dblp.org/pid/b/PhilipABernstein,Microsoft Research
Yeye He,https://dblp.org/pid/14/7259,
Lev Novik,https://dblp.org/pid/69/4827,
Nandish Jayaram,https://dblp.org/pid/137/7959,
Sidharth Goyal,https://dblp.org/pid/166/8354,
Chengkai Li,https://dblp.org/pid/14/3692,"University of Texas at Arlington, USA"
Hongzhi Wang,https://dblp.org/pid/169/5365,
Jianzhong Li,https://dblp.org/pid/18/6870,
Jizhou Luo,https://dblp.org/pid/37/5524,
Hong Gao,https://dblp.org/pid/55/7733,
Md Farhadur Rahman,https://dblp.org/pid/154/6446,
Weimo Liu,https://dblp.org/pid/89/9960,
Saravanan Thirumuruganathan,https://dblp.org/pid/57/10514,
Nan Zhang 0004,https://dblp.org/pid/z/NanZhang4,
Gautam Das 0001,https://dblp.org/pid/07/1181,
Tobias Bleifu,https://dblp.org/pid/188/2079,"Hasso-Plattner-Institut an der Universität Potsdam, Germany"
