Name,Success,NumberOfPublications,Tier 1 Count,Reputation,URL,Institution,Country,Root Institution,Institution Rank
Sneha Aman Singh,0,1,1,3,https://dblp.org/pid/151/7920,,,,
Divesh Srivastava,119,202,127,526,https://dblp.org/pid/s/DiveshSrivastava,,,,
Srikanta Tirthapura,1,16,4,36,https://dblp.org/pid/40/3710,"Iowa State University, Ames, IA, USA",us,Iowa State University,
Tomas Talius,0,2,1,5,https://dblp.org/pid/46/9582,,,,
Robin Dhamankar,0,4,2,10,https://dblp.org/pid/37/813,,,,
Andrei Dumitrache,0,1,1,3,https://dblp.org/pid/117/5945,,,,
Hanuma Kodavalla,1,6,5,17,https://dblp.org/pid/15/3353,,,,
Bailu Ding,3,6,6,18,https://dblp.org/pid/163/0574,,,,
Sudipto Das,9,21,17,58,https://dblp.org/pid/71/5974,,,,
Wentao Wu 0001,7,22,12,55,https://dblp.org/pid/29/85,"Microsoft Research, Redmond, WA, USA",us,-999,
Surajit Chaudhuri,106,145,108,397,https://dblp.org/pid/c/SurajitChaudhuri,Microsoft,,,
Vivek R. Narasayya,46,59,47,165,https://dblp.org/pid/n/VivekRNarasayya,,,,
Alireza Rezaei Mahdiraji,0,3,1,7,https://dblp.org/pid/74/8086,,,,
Rui Zhang,0,5,2,12,https://dblp.org/pid/247/8331,,,,
Reshu Jain,0,1,1,3,https://dblp.org/pid/69/7446,,,,
Prasenjit Sarkar,0,1,1,3,https://dblp.org/pid/03/2866,,,,
Lukas Rupprecht,0,3,3,9,https://dblp.org/pid/91/9320,,,,
Marcelo Arenas,1,12,8,31,https://dblp.org/pid/76/6735,,,,
Gonzalo I. Diaz,0,3,2,8,https://dblp.org/pid/133/8305,,,,
Achille Fokoue,1,4,2,10,https://dblp.org/pid/13/2150,,,,
Anastasios Kementsietsidis,7,26,13,65,https://dblp.org/pid/41/5464,,,,
Kavitha Srinivas,2,5,4,14,https://dblp.org/pid/39/4444,,,,
Yongjoo Park,3,6,5,17,https://dblp.org/pid/84/6089,,,,
Michael J. Cafarella,15,28,19,75,https://dblp.org/pid/82/231,"University of Michigan, Ann Arbor, USA",us,-999,
Barzan Mozafari,20,29,24,82,https://dblp.org/pid/45/2495,,,,
Shaofeng Cai,0,2,1,5,https://dblp.org/pid/228/6099,,,,
Gang Chen 0001,29,74,31,166,https://dblp.org/pid/29/8493-1,,,,
Beng Chin Ooi,54,141,82,353,https://dblp.org/pid/o/BengChinOoi,National University of Singapore (NUS),singapore,National University of Singapore,
Jinyang Gao,3,9,7,25,https://dblp.org/pid/131/4047,,,,
Kisung Lee,0,4,2,10,https://dblp.org/pid/99/4464,,,,
Ling Liu 0001,5,55,16,126,https://dblp.org/pid/l/LingLiu,"Georgia Institute of Technology, Atlanta, USA",us,-999,
Eli Cortez,2,5,4,14,https://dblp.org/pid/c/EliCortez,"Microsoft Corporation, Redmond, USA",us,-999,
Philip A. Bernstein,19,59,48,166,https://dblp.org/pid/b/PhilipABernstein,Microsoft Research,,,
Yeye He,7,16,15,47,https://dblp.org/pid/14/7259,,,,
Lev Novik,1,3,2,8,https://dblp.org/pid/69/4827,,,,
Nandish Jayaram,0,3,1,7,https://dblp.org/pid/137/7959,,,,
Sidharth Goyal,0,1,1,3,https://dblp.org/pid/166/8354,,,,
